contract_id;start_date;end_date;termination_reason;is_b2b
910851789421;2012-09-03;;nan;n
930638844003;2010-12-03;;nan;n
763503476719;2015-11-26;;nan;n
476799826672;2015-08-30;;nan;n
428331518429;2011-02-18;2018-01-23;low quality;n
633430782145;2012-02-22;;nan;n
443577082988;2013-06-20;;nan;n
703881896834;2014-05-13;;nan;y
544553549535;2017-11-27;;nan;n
102327969292;2014-04-30;;nan;n
178140121354;2012-08-15;;nan;n
614261151305;2013-11-16;;nan;n
811983464826;2014-10-05;;nan;y
313310925092;2014-07-03;;nan;n
325887079111;2015-04-15;;nan;n
825512429813;2012-10-09;;nan;n
584829395770;2015-03-07;;nan;n
700551809556;2010-08-10;;nan;n
865609405868;2010-05-05;2018-04-20;too expensive;y
354829943846;2010-09-16;;nan;y
398338995138;2017-12-18;2018-02-20;death;y
903781502903;2017-10-09;;nan;n
769561688617;2014-12-13;;nan;n
335422502851;2010-10-19;2018-12-26;low quality;n
777990631328;2014-05-03;;nan;n
428455547461;2015-04-21;2018-11-04;low quality;n
604670768799;2016-11-07;;nan;n
647494158732;2013-09-14;;nan;n
384994487634;2010-03-10;;nan;n
131169358104;2012-03-03;;nan;n
692690807678;2012-07-30;2018-09-17;low quality;n
306394605995;2011-04-15;;nan;n
909542363422;2015-05-25;2018-12-13;too expensive;n
015487445992;2012-02-02;;nan;n
626185389814;2011-03-03;;nan;n
549772065026;2017-02-10;;nan;y
318730257188;2016-09-20;;nan;y
402357847519;2011-12-18;;nan;n
068359564716;2010-03-25;2018-08-24;low quality;n
911426725021;2014-06-30;;nan;n
045856370810;2013-11-22;2018-09-08;death;n
052614875003;2017-05-19;;nan;y
425352717299;2017-04-24;;nan;n
037015043729;2013-11-16;;nan;n
719868551644;2017-07-25;;nan;n
695424152537;2015-04-18;;nan;y
756403465262;2015-02-13;;nan;y
288168003926;2012-01-15;;nan;n
328735317964;2016-02-27;;nan;n
965557265501;2014-09-29;2018-05-20;low quality;n
234574446816;2010-10-24;;nan;y
670258234752;2012-12-04;2018-07-16;low quality;n
174055159497;2016-04-12;2018-07-08;death;y
600463292881;2011-04-30;;nan;n
713598862938;2014-12-25;;nan;n
078031156976;2014-05-27;;nan;n
453750150707;2017-11-17;2018-07-08;low quality;n
161213166362;2015-07-30;;nan;n
821601265634;2012-01-26;;nan;n
608973663899;2010-08-05;;nan;n
372263787110;2011-08-20;;nan;n
194082579884;2012-01-27;;nan;y
959480306368;2015-06-28;;nan;n
566094669138;2010-08-07;;nan;y
067700823459;2013-07-04;;nan;n
753071258204;2016-11-09;;nan;n
871726624360;2016-02-29;;nan;n
245994927195;2013-05-20;;nan;n
019339923565;2016-02-15;;nan;n
760297001152;2013-09-22;;nan;n
084505332818;2013-10-25;;nan;y
975374157996;2017-06-30;;nan;n
025564303524;2016-03-09;;nan;y
651066547268;2017-04-30;;nan;n
323618901185;2015-05-06;;nan;n
999999045464;2016-06-01;;nan;y
726315589709;2017-06-12;;nan;n
233099016294;2015-07-25;;nan;y
619001602305;2014-05-03;;nan;n
654502118842;2012-11-09;;nan;y
703905574482;2014-03-16;;nan;n
926539664473;2016-03-11;;nan;y
201892863823;2017-01-27;;nan;n
263948108450;2012-12-09;2018-06-29;too expensive;n
436790848639;2011-06-02;;nan;y
757151159622;2013-02-28;2018-11-06;too expensive;y
887499890524;2011-05-07;;nan;n
130921968971;2014-11-03;;nan;n
869393565563;2010-08-27;;nan;n
113010043103;2013-06-27;;nan;n
483770896660;2012-10-09;;nan;n
769729987267;2012-01-13;;nan;n
147414685482;2010-12-09;;nan;y
418309700546;2015-06-13;2018-02-18;too expensive;n
391343742464;2017-08-22;2018-07-17;too expensive;n
991885493852;2016-08-14;;nan;y
968874328490;2016-12-06;2018-01-10;too expensive;n
903746783422;2015-04-18;2018-11-14;too expensive;n
817065311721;2013-01-27;;nan;n
152341403082;2017-04-07;;nan;n
648787437985;2010-03-16;;nan;n
729602216486;2013-04-25;;nan;y
197641993092;2010-01-10;;nan;y
241656539724;2013-09-11;;nan;y
614391988710;2017-06-14;;nan;n
662508008301;2012-12-27;2018-03-03;too expensive;y
722083269884;2010-03-18;;nan;n
975255371211;2017-06-14;;nan;n
501409344566;2016-02-23;;nan;n
252115531393;2010-11-11;;nan;n
763996622683;2010-03-19;;nan;n
237848818777;2013-02-03;;nan;y
446601100559;2017-10-25;;nan;n
180436413140;2010-11-18;;nan;y
008035324974;2012-11-28;;nan;n
101271325442;2010-04-12;;nan;n
473892118407;2015-03-22;;nan;n
279156321477;2016-10-19;;nan;n
434285702817;2017-01-19;;nan;n
162208279209;2016-03-22;;nan;n
572159262584;2011-01-31;;nan;n
170075622908;2014-10-05;;nan;n
818694056670;2011-11-05;;nan;y
874951781432;2013-12-30;2018-02-09;too expensive;n
476903737375;2014-02-08;;nan;y
344218881332;2015-01-25;;nan;n
585669101571;2014-07-30;;nan;n
714974503177;2016-07-03;2018-09-14;low quality;n
196344261197;2012-06-27;2018-12-10;death;n
786417454227;2012-07-05;;nan;n
898298050136;2016-09-03;;nan;n
023860712778;2012-12-08;2018-12-16;too expensive;n
824453719877;2010-04-27;;nan;n
463935091862;2012-02-02;;nan;n
867460392168;2016-02-22;;nan;n
665791951079;2015-06-07;;nan;y
420236426238;2014-04-16;;nan;n
135935072656;2017-11-03;;nan;y
073046413065;2015-08-14;;nan;n
762182313808;2012-02-19;;nan;n
912997069215;2013-04-24;;nan;n
573516459028;2016-08-15;;nan;y
541338598437;2016-10-24;;nan;n
851343477450;2017-05-29;;nan;n
110345936366;2014-07-17;2018-10-01;death;n
935264611515;2012-03-17;;nan;n
998182417045;2017-06-11;;nan;n
551338247989;2016-01-18;;nan;n
786902045054;2011-05-31;2018-02-10;death;n
502358949690;2013-06-07;2018-11-23;low quality;n
336146726386;2016-08-20;2018-09-24;too expensive;n
631186117835;2016-03-08;;nan;n
879225324221;2015-05-22;2018-09-12;low quality;n
847425426474;2014-03-07;2018-11-25;death;n
517127040085;2010-01-27;;nan;n
734583258313;2011-11-29;;nan;n
831693378420;2011-04-08;;nan;n
688229834001;2013-01-09;;nan;n
681102588161;2015-04-01;2018-12-28;low quality;n
278496860703;2016-10-03;;nan;n
527660224100;2012-10-07;;nan;n
211925221739;2016-12-21;;nan;n
471859099156;2017-03-09;;nan;n
840260106110;2017-08-03;;nan;n
802582609309;2011-10-15;;nan;n
628974131176;2010-12-18;;nan;n
309601531690;2010-04-10;2018-06-07;too expensive;y
219285072426;2015-06-15;2018-07-21;too expensive;n
857174820080;2013-05-04;;nan;n
592467326352;2016-06-03;2018-07-26;too expensive;n
356514029863;2013-12-30;;nan;y
114350205159;2010-04-20;2018-08-22;too expensive;n
334647970188;2016-08-19;;nan;y
237674555225;2017-06-10;;nan;n
691749195229;2016-06-20;;nan;n
998754670347;2017-08-05;;nan;n
872737069384;2012-10-31;;nan;n
376560710312;2015-09-19;2018-07-07;too expensive;n
833316784186;2011-08-03;;nan;n
224947566645;2011-06-19;2018-05-06;low quality;n
502124550420;2014-12-02;;nan;y
162616667771;2010-09-04;2018-01-06;too expensive;n
216539958902;2011-09-20;;nan;n
256300051696;2015-07-17;;nan;y
388409958324;2013-01-31;;nan;n
671206240086;2016-06-23;;nan;y
951258988510;2010-08-15;;nan;n
336850456095;2013-04-28;;nan;n
261709075141;2011-05-24;2018-05-20;too expensive;n
007373599842;2010-12-22;;nan;n
249875462913;2011-09-03;2018-03-05;low quality;n
320231785625;2016-02-11;;nan;y
312883363311;2016-02-26;;nan;n
026240408348;2010-12-17;;nan;y
167771743147;2016-12-13;2018-08-22;too expensive;n
274959414333;2012-11-02;;nan;n
686522829782;2014-01-09;;nan;n
427948956185;2017-06-28;;nan;y
650467638769;2010-10-19;;nan;y
187177622920;2017-04-05;2018-04-12;low quality;n
945218510530;2013-11-15;;nan;n
553775366690;2013-05-04;;nan;n
219689159198;2012-06-03;;nan;y
172759643722;2014-01-13;;nan;n
373767785326;2010-09-27;;nan;n
078126740703;2013-11-13;;nan;n
318773658586;2013-09-20;;nan;n
051587406375;2016-08-28;2018-07-05;too expensive;n
186445337701;2011-10-14;;nan;n
343413075805;2015-12-20;;nan;n
404308900749;2015-06-08;;nan;n
874259272490;2011-07-14;;nan;n
877543821417;2013-03-27;;nan;n
190134364432;2016-09-30;2018-07-13;death;n
578507817122;2017-01-22;;nan;n
139972397189;2017-01-14;;nan;y
122497331354;2011-05-11;;nan;y
105042226773;2017-08-14;;nan;n
827571189053;2014-05-12;2018-06-16;too expensive;n
264930177070;2013-12-03;;nan;n
055111919049;2010-03-16;;nan;n
530994745408;2017-02-24;;nan;n
686278543687;2017-06-09;;nan;n
791707885411;2012-05-02;;nan;n
722635205466;2012-09-08;;nan;n
455789809655;2010-09-15;;nan;n
730029892027;2013-03-10;;nan;n
865366707637;2015-09-08;;nan;y
929667034923;2016-05-12;;nan;n
032516267620;2015-06-23;;nan;n
608551218917;2014-09-01;;nan;n
988810227933;2017-11-23;2018-07-29;low quality;n
324267150007;2011-12-30;;nan;y
322478985570;2010-03-28;;nan;n
088479999199;2015-01-04;;nan;n
481325673021;2013-06-09;;nan;n
371573661566;2016-03-28;;nan;n
105348920837;2011-05-18;;nan;n
936050660063;2010-05-29;;nan;n
746416667890;2015-08-16;;nan;y
469837701316;2012-07-18;2018-04-28;low quality;n
737018622368;2012-10-19;;nan;n
152277409182;2017-05-27;;nan;n
846150660378;2014-06-16;;nan;n
217821897922;2015-11-14;;nan;n
788335195615;2015-02-04;2018-01-24;too expensive;n
298264658119;2014-01-02;;nan;n
120173406444;2016-06-02;;nan;n
397848528351;2015-01-24;2018-02-17;low quality;n
151239627249;2014-05-05;;nan;n
567410967487;2017-08-05;;nan;n
444217499948;2016-06-15;;nan;n
107288669014;2017-09-18;;nan;y
854721441879;2017-06-24;;nan;n
684527524070;2012-02-12;;nan;n
264930867660;2013-05-30;;nan;n
246758609138;2012-11-19;;nan;n
333653751004;2010-11-15;;nan;n
307787050030;2011-10-29;;nan;n
984923397116;2016-07-19;;nan;n
225917883379;2012-12-04;;nan;y
886614957372;2012-12-06;;nan;n
106283903236;2017-12-26;;nan;y
135185163237;2013-01-05;;nan;n
260966526404;2016-02-22;;nan;n
521302042457;2010-04-19;2018-12-15;death;n
850912989535;2016-02-26;;nan;n
083650939924;2015-04-18;;nan;y
361463325560;2011-06-30;2018-07-21;low quality;n
396449662129;2016-06-06;;nan;n
030444184602;2011-04-29;;nan;n
594874377929;2013-09-22;2018-05-20;too expensive;y
260063607893;2013-06-22;;nan;y
721219097245;2011-06-19;;nan;n
833638289941;2014-03-28;;nan;n
632158430559;2016-09-25;;nan;y
817676153439;2015-08-02;;nan;n
486887470518;2016-02-14;;nan;n
427234127125;2012-12-15;;nan;n
990886136110;2010-03-05;2018-02-02;too expensive;n
555185957543;2010-12-27;2018-08-11;low quality;n
910985598804;2016-03-02;;nan;n
366263108118;2011-09-17;;nan;n
967848187396;2016-02-21;;nan;n
049267349223;2011-12-20;;nan;n
357763300360;2010-03-13;;nan;y
661199349958;2016-06-11;;nan;n
235694515961;2015-10-12;;nan;n
692886587579;2016-10-16;;nan;y
574055096922;2011-12-26;2018-08-27;too expensive;n
909879558395;2015-09-01;2018-11-07;death;n
534173227966;2015-07-18;;nan;y
589135745715;2017-03-05;;nan;n
497829560656;2014-07-20;;nan;n
731274465273;2010-12-21;;nan;y
225416048482;2012-07-31;;nan;n
102478672598;2011-09-04;;nan;n
328690827825;2013-07-01;;nan;n
239080825160;2010-04-18;;nan;y
675450920887;2010-02-21;;nan;n
135840350062;2012-01-04;;nan;n
359090233406;2015-10-13;;nan;n
488136963247;2010-04-25;2018-04-14;death;n
526800664351;2010-05-21;;nan;n
413521989858;2013-07-14;;nan;n
857325400089;2012-09-25;2018-08-12;too expensive;n
286634485270;2017-08-18;;nan;n
047702104350;2013-05-10;;nan;n
052336332474;2014-11-16;;nan;n
454399785643;2014-06-24;;nan;n
631254402379;2012-01-01;;nan;n
498200404212;2014-09-24;2018-04-28;low quality;n
901697480487;2014-12-10;;nan;y
136698269451;2012-12-08;;nan;y
382160454810;2016-10-24;;nan;n
434497623408;2012-10-15;;nan;n
767592496037;2016-06-08;;nan;y
605201986094;2014-11-16;;nan;n
364002671584;2017-02-13;;nan;n
754520759603;2015-12-09;;nan;y
492890985786;2014-05-30;2018-05-19;too expensive;n
360431335329;2010-07-23;;nan;n
529648154758;2013-06-27;;nan;n
341087011719;2011-06-15;;nan;n
268440690246;2015-02-08;2018-10-16;low quality;n
908355027275;2013-08-17;;nan;n
158638076602;2013-10-25;2018-06-12;too expensive;n
540153894127;2012-04-22;2018-11-22;too expensive;n
717238851666;2014-04-17;2018-10-08;low quality;n
702177325462;2013-08-12;;nan;y
031892623886;2012-06-02;;nan;n
357995027981;2016-06-13;2018-05-13;too expensive;n
094470856873;2012-05-04;2018-01-08;too expensive;y
606889370330;2015-05-05;;nan;n
357412628125;2012-07-26;;nan;n
637138810802;2013-07-14;;nan;y
341476898033;2016-08-13;;nan;n
059991109175;2014-06-25;;nan;n
365384633040;2010-10-14;2018-02-09;low quality;n
039406892820;2014-06-02;;nan;n
383422080895;2010-12-24;2018-12-31;too expensive;n
862307779779;2017-03-16;;nan;n
111868476082;2014-12-15;2018-08-26;low quality;n
386629935030;2010-10-04;2018-06-10;low quality;n
811620898254;2014-01-22;;nan;n
807567082295;2016-10-03;2018-11-29;low quality;n
588683589850;2013-07-27;2018-05-21;low quality;n
173515691408;2016-03-23;;nan;n
382686182290;2012-06-16;2018-07-18;too expensive;n
610234037128;2015-12-08;;nan;n
601271788278;2015-07-31;2018-04-11;low quality;y
336899996409;2012-12-01;;nan;n
393250391798;2011-09-06;;nan;n
590933383162;2013-05-15;;nan;y
407093290720;2014-11-16;;nan;n
248771584408;2016-08-15;;nan;n
942744579302;2011-12-23;2018-06-19;too expensive;n
335519555905;2017-04-10;;nan;n
931189974633;2016-12-30;;nan;n
553435305139;2014-04-22;2018-01-09;too expensive;y
197548292529;2010-06-08;;nan;n
816992799124;2011-05-15;;nan;n
043491749736;2011-06-12;2018-04-29;low quality;y
919966742096;2011-04-04;;nan;n
469443825704;2010-12-08;;nan;n
651737467047;2015-05-19;;nan;n
676174368894;2012-11-26;;nan;y
012476822174;2016-02-13;;nan;n
820175295513;2015-02-24;2018-04-07;low quality;n
034292843864;2012-10-23;2018-01-30;death;n
487378771032;2017-04-17;2018-10-03;low quality;n
063638982716;2014-09-14;;nan;n
694934349762;2012-09-05;2018-01-17;death;n
072336750263;2013-03-05;;nan;n
497253914672;2010-03-13;2018-08-17;too expensive;n
546003815557;2017-10-15;;nan;n
830753147612;2011-10-11;;nan;n
174802628341;2015-11-08;2018-12-10;too expensive;n
517041329881;2013-02-18;;nan;n
274560378537;2011-11-16;;nan;n
551281080737;2016-12-13;;nan;n
051228578710;2012-11-29;;nan;n
466034390073;2015-09-15;;nan;n
094548465294;2010-12-01;;nan;n
058741152423;2012-11-13;2018-04-29;death;n
637692726334;2016-05-16;;nan;n
501406163221;2014-06-14;;nan;n
265132590665;2015-11-08;2018-12-13;death;n
725892459976;2012-10-05;;nan;n
875159888129;2011-03-27;2018-09-14;low quality;n
224574294788;2010-04-12;;nan;n
483028842911;2014-12-09;;nan;n
133772971218;2013-05-30;;nan;n
243021763517;2016-12-27;2018-12-14;too expensive;n
981872376436;2016-11-25;;nan;n
476317561076;2015-11-14;;nan;n
452092390751;2012-08-13;;nan;n
712659325483;2013-04-25;;nan;y
965610374563;2014-05-27;;nan;n
052593834556;2012-04-22;;nan;n
740573324027;2014-12-22;;nan;n
360275593466;2017-01-27;;nan;n
624087063371;2013-02-08;;nan;y
256157126877;2015-10-09;;nan;n
731187423213;2011-05-15;;nan;y
979292069115;2016-01-12;2018-02-21;too expensive;n
552293784330;2011-08-30;2018-06-30;too expensive;n
844337664551;2014-08-17;2018-05-06;low quality;n
133463014519;2015-03-16;;nan;n
715396593787;2016-12-23;;nan;y
316296435587;2013-11-25;;nan;n
983810768278;2016-06-03;;nan;y
329266710744;2016-06-01;;nan;n
683888573844;2011-08-25;;nan;n
109076913630;2013-06-28;;nan;n
691832144139;2015-07-29;;nan;n
778280600197;2013-02-06;;nan;n
579039776600;2015-12-13;;nan;y
369971473792;2013-09-22;;nan;n
169355455487;2010-07-14;;nan;n
088435408327;2013-01-08;2018-07-20;too expensive;n
167173258091;2011-06-28;2018-12-22;death;n
521248595837;2017-10-02;;nan;n
912279117800;2013-04-22;;nan;y
324980056016;2012-12-15;;nan;n
667052325288;2014-10-27;;nan;n
936950286114;2017-02-08;2018-02-21;too expensive;n
002025492567;2017-05-13;;nan;n
178047387396;2014-01-27;;nan;n
415017381592;2014-05-17;;nan;n
360775243759;2013-09-04;2018-01-27;low quality;n
635406791425;2011-10-07;2018-10-26;too expensive;n
955763638815;2014-08-09;;nan;n
092432445121;2016-01-22;;nan;n
974401917698;2012-02-29;;nan;y
760864595175;2011-08-19;;nan;n
500250658725;2013-04-03;;nan;y
120314881731;2016-03-23;;nan;n
328605752572;2017-10-04;2018-12-18;low quality;n
414606362470;2011-09-05;;nan;n
823743298268;2010-01-25;;nan;y
155459166109;2010-01-21;;nan;n
995414621547;2017-07-30;;nan;n
993488929284;2011-05-05;;nan;n
557702492658;2013-12-02;;nan;n
622040227092;2013-10-10;2018-06-05;low quality;n
594842053906;2015-03-09;2018-02-26;death;n
774877206302;2010-11-19;2018-06-17;too expensive;n
472039451808;2012-06-27;2018-05-11;low quality;n
421558315485;2011-06-24;;nan;n
078523038742;2010-07-04;;nan;n
816456632097;2016-11-16;;nan;n
429264026873;2013-06-09;2018-06-04;low quality;y
854849840241;2017-06-05;;nan;n
388997906210;2012-05-07;;nan;n
793855608271;2016-02-13;;nan;n
395842333846;2011-08-07;;nan;n
777571135894;2016-06-12;2018-05-15;low quality;n
851991980028;2014-11-24;;nan;n
362919601973;2016-06-13;;nan;n
571051621147;2010-05-31;;nan;n
242799613816;2014-10-25;2018-07-21;death;y
799725783482;2014-12-06;;nan;n
310368095375;2013-09-19;;nan;y
553538614924;2014-08-19;;nan;n
012659265579;2010-03-28;;nan;n
696959128521;2014-06-10;2018-12-25;too expensive;y
658824442351;2011-01-21;;nan;n
951662879808;2015-09-05;;nan;n
660741035787;2014-12-17;;nan;n
082897544663;2013-11-11;;nan;y
333441211670;2016-10-09;;nan;n
088520728017;2015-02-11;;nan;n
789654478885;2011-12-21;;nan;n
665084805756;2016-08-07;;nan;y
238613604851;2010-01-22;;nan;n
097296178212;2011-12-11;;nan;n
569436589296;2012-09-07;;nan;n
030941172147;2014-11-13;2018-08-04;too expensive;n
859259615560;2017-02-07;;nan;n
558061327842;2010-02-24;;nan;n
787181140700;2015-01-07;;nan;y
837376452977;2017-11-23;2018-04-26;too expensive;n
557954319678;2017-02-03;;nan;n
087463296837;2016-09-05;;nan;n
889945856603;2017-02-26;;nan;y
063162622992;2016-07-02;;nan;n
132431843523;2014-05-09;;nan;n
146618702970;2017-03-30;;nan;n
555167046479;2012-01-13;;nan;n
878978816965;2015-08-17;2018-08-21;low quality;n
885854721226;2017-05-23;;nan;n
620027362501;2017-02-25;;nan;n
780544830115;2010-12-07;;nan;n
493028730302;2016-01-09;;nan;y
137261713864;2012-08-12;2018-05-30;death;n
050091124444;2014-05-09;;nan;n
478730463386;2016-03-02;;nan;y
013180480735;2017-06-16;;nan;n
442146543132;2010-11-04;2018-04-10;low quality;n
508902291535;2017-11-10;2018-10-28;too expensive;n
000755169178;2011-03-03;;nan;n
840971728659;2015-01-20;;nan;n
275850966839;2015-03-25;;nan;n
203478944066;2015-02-03;;nan;y
352943625914;2012-05-19;;nan;n
329668153904;2014-06-18;;nan;n
190775270071;2014-08-31;;nan;n
198042265431;2012-07-06;;nan;y
990690982557;2016-02-22;;nan;n
354819948105;2011-03-15;;nan;n
109366953300;2017-05-31;;nan;n
767205297735;2017-07-31;;nan;n
432512184557;2014-12-22;2018-11-18;low quality;n
272881505110;2017-05-17;;nan;y
405632850280;2016-08-06;;nan;n
896439121715;2010-01-17;2018-05-12;death;n
936422193618;2010-05-06;;nan;n
664948337324;2014-10-11;2018-09-23;death;n
695484946653;2014-11-15;;nan;n
875553364192;2010-10-21;;nan;n
412266284841;2014-09-24;;nan;y
476553627963;2016-08-22;;nan;n
474298507752;2010-04-27;;nan;n
932154961629;2016-12-27;;nan;y
472337600525;2012-07-05;;nan;n
622155558034;2012-09-27;;nan;y
641354196145;2016-04-25;;nan;n
772648781006;2017-04-30;2018-11-17;low quality;n
344615748932;2012-01-24;2018-05-27;low quality;n
832826068768;2010-08-07;;nan;y
178894803207;2017-01-05;;nan;n
305963443822;2013-06-04;2018-10-26;low quality;n
611163405208;2010-06-18;2018-05-27;death;n
164442514422;2013-06-21;2018-01-14;low quality;y
633847696828;2015-01-20;2018-08-28;low quality;n
178518780890;2016-02-13;;nan;n
817357934219;2012-12-07;;nan;n
119023465961;2017-12-16;;nan;y
522197249356;2012-02-29;;nan;n
959567822049;2011-05-23;;nan;n
254686169316;2011-11-06;;nan;n
649078594440;2011-06-24;;nan;y
455196360434;2011-11-03;;nan;n
601034309387;2012-06-23;2018-01-23;too expensive;n
827453116569;2017-11-24;;nan;y
134296480843;2012-03-28;;nan;n
123505276795;2013-03-23;;nan;n
727572839673;2017-11-17;;nan;y
915745359481;2012-04-28;;nan;n
911172477088;2015-10-23;;nan;n
799827814288;2014-03-29;;nan;n
378969947090;2010-06-30;;nan;n
506486452812;2011-04-25;2018-03-15;too expensive;n
030656773027;2015-12-03;;nan;y
385145420831;2013-01-07;;nan;y
938084038846;2010-10-14;;nan;n
901063128394;2016-12-03;;nan;n
522882410860;2010-10-29;2018-09-17;death;n
445004444419;2017-07-10;2018-07-10;too expensive;n
510311501395;2013-08-13;;nan;n
090170362615;2012-01-10;2018-10-18;low quality;n
418507455977;2012-11-30;;nan;n
532366476819;2015-07-07;2018-06-17;low quality;n
681386992834;2012-05-19;;nan;n
622163379578;2014-09-25;;nan;y
569608218336;2012-12-24;;nan;n
449571834807;2012-11-22;2018-03-27;low quality;y
234888641264;2011-06-22;;nan;n
750277579310;2014-10-28;;nan;n
285971746214;2016-11-19;;nan;n
439736071154;2014-02-01;;nan;n
862743526166;2013-09-17;;nan;n
413450613115;2011-06-07;;nan;n
673627164428;2016-11-30;;nan;n
439175136814;2012-07-03;;nan;n
645988843846;2016-09-09;;nan;n
204490766689;2015-07-13;;nan;y
456050901325;2016-09-22;;nan;n
754755356986;2016-10-23;;nan;n
874020103582;2011-02-24;;nan;n
757591433321;2015-06-30;2018-05-26;low quality;n
135631430957;2016-03-03;;nan;n
490615721910;2011-10-10;;nan;n
147307184513;2012-02-17;;nan;n
802885978933;2017-09-16;;nan;n
384793199875;2016-12-03;;nan;n
891719555071;2013-07-02;;nan;y
886006303290;2013-03-04;;nan;n
385738669498;2014-04-29;2018-06-07;death;n
265748369359;2017-10-10;2018-07-22;low quality;n
445183788657;2012-08-21;;nan;n
673912308613;2017-05-14;;nan;y
087793136317;2016-04-10;;nan;n
810901297546;2010-08-12;;nan;n
655460399150;2014-07-29;;nan;n
923262444623;2013-08-03;;nan;n
705806936483;2012-01-11;;nan;n
163301473381;2012-11-15;;nan;y
169152539609;2013-09-07;;nan;n
369177830664;2017-06-22;;nan;n
218193556729;2010-07-05;;nan;y
296689747477;2015-04-13;2018-10-31;too expensive;n
375343541365;2013-07-13;;nan;n
152322758385;2010-10-27;;nan;n
